,Area,Latitude,Longitude,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
169,"Randwick, NSW, Australia",-33.94585945,151.24275409999998,1,2,0,25,5,6,18,4,26,8
170," Bardwell Valley, NSW, Australia",-33.937452,151.1304335,1,2,0,6,1,3,1,0,2,3
171,"Bexley, NSW, Australia",-33.952354299999996,151.1181427,3,1,0,6,4,4,8,0,6,13
172," Bardwell Park, NSW, Australia",-33.9355556,151.1238889,1,6,0,10,2,4,8,0,2,6
173," Kyeemagh, NSW, Australia",-33.9492195,151.16073730000002,0,1,0,4,2,10,4,0,2,0
174," Banksia, NSW, Australia",-33.9448646,151.1402066,5,4,0,21,4,3,16,4,22,9
175," Ramsgate, NSW, Australia",-33.982713000000004,151.1399314,4,2,0,16,2,5,10,0,11,3
176," Denistone, NSW, Australia",-33.7989066,151.0887,3,2,0,37,7,8,11,4,16,5
177," Huntleys Point, NSW, Australia",-33.8422131,151.1419664,0,2,0,7,2,2,5,2,6,5
178," Marsfield, NSW, Australia",-33.7777956,151.10320149999998,5,24,0,4,3,4,10,3,9,7
179," East Ryde, NSW, Australia",-33.809701700000005,151.1353884,1,0,0,5,3,5,1,1,3,2
180," Putney, NSW, Australia",-33.826067,151.1064224,1,1,0,10,1,4,2,1,16,2
181," Meadowbank, NSW, Australia",-33.817499299999994,151.0884249,1,3,0,11,1,8,4,5,13,7
182,"Homebush, NSW, Australia",-33.860451,151.0806118,4,4,0,40,5,7,24,2,48,6
183,"Strathfield, NSW, Australia",-33.87981765,151.0785246,3,6,0,5,0,4,4,0,4,1
184," Loftus, NSW, Australia",-34.0434357,151.0504559,1,4,0,5,0,3,2,0,3,4
185," Waterfall, NSW, Australia",-34.6323839,150.4194304,0,0,0,0,0,0,0,0,0,0
186," Alfords Point, NSW, Australia",-33.9839091,151.0241615,0,0,0,2,0,2,2,0,0,0
187," Woronora, NSW, Australia",-34.11649570000001,150.9522795,0,0,0,0,0,0,0,0,0,0
188," Jannali, NSW, Australia",-34.016315899999995,151.0658096,3,7,0,12,5,4,5,0,9,4
189,"Royal National Park, NSW, Australia",-34.11219955,151.0267269,0,0,0,0,0,0,0,0,1,0
190," Kirrawee, NSW, Australia",-34.0344781,151.0726428,3,17,0,6,4,3,7,0,11,4
191," Lilli Pilli, NSW, Australia",-34.0680729,151.1159938,0,0,0,1,1,3,1,0,2,1
192," Bundeena, NSW, Australia",-34.0845443,151.15123480000003,0,0,0,5,1,5,2,0,3,5
193," Grays Point, NSW, Australia",-34.0591451,151.0786995,0,1,0,4,0,6,3,0,5,0
194," Yowie Bay, NSW, Australia",-34.050277799999996,151.1033333,0,0,0,3,1,2,4,0,4,1
195," Taren Point, NSW, Australia",-34.0200181,151.12267509999998,4,1,0,10,1,4,5,0,23,6
196," The Rocks, NSW, Australia",-33.859992,151.2083216,43,39,0,162,93,93,154,5,77,118
197," Ultimo, NSW, Australia",-33.879472799999995,151.19843459999998,37,79,0,165,62,61,104,33,129,111
198," Woolloomooloo, NSW, Australia",-33.8718758,151.2192218,33,17,0,183,83,80,106,6,73,88
199,"Darlinghurst, NSW, Australia",-33.8783381,151.219225,31,24,0,183,103,60,93,10,90,78
200,"Surry Hills, NSW, Australia",-33.8845123,151.2100301,40,75,0,243,133,63,112,29,132,108
201," Chippendale, NSW, Australia",-33.886329100000005,151.19982109999998,35,99,0,152,73,56,91,18,97,92
202," Forest Lodge, NSW, Australia",-33.8805556,151.17833330000002,2,20,0,86,17,20,36,3,50,17
203," Darlington, NSW, Australia",-33.890862,151.1932156,28,99,0,180,53,32,68,7,77,29
204," Alexandria, NSW, Australia",-33.9091568,151.1921281,2,3,0,64,6,20,29,7,50,3
205,"North Rocks, NSW, Australia",-33.7713052,151.020996,0,3,0,8,1,4,3,0,9,2
206," Wisemans Ferry, NSW, Australia",-33.3852776,150.9868024,0,0,0,4,2,6,2,0,1,4
207," Beaumont Hills, NSW, Australia",-33.699722200000004,150.94055559999998,0,0,0,5,0,6,4,0,4,2
208,"Baulkham Hills (East), NSW, Australia",-33.761119799999996,150.99140409999998,1,5,0,25,2,4,7,1,10,5
209," Bella Vista, NSW, Australia",-33.7416936,150.95471830000002,1,4,0,13,2,5,17,0,7,7
210,"Castle Hill, NSW, Australia",-33.7315318,151.0071718,4,4,0,36,7,5,25,2,59,4
211,"Glenhaven, NSW, Australia",-33.7027383,151.00080490000002,0,1,0,2,1,2,5,0,2,0
212,"Kellyville, NSW, Australia",-33.71582720000001,150.954993,1,2,0,5,0,4,5,0,5,1
213,"West Pennant Hills, NSW, Australia",-33.7478359,151.0350621,0,0,0,4,0,12,3,0,3,3
214," Narraweena, NSW, Australia",-33.7502066,151.2741566,0,1,0,6,0,1,3,1,5,1
215,"Cromer, NSW, Australia",-33.738522700000004,151.27629950000002,2,0,0,6,0,4,7,0,6,0
216," North Curl Curl, NSW, Australia",-33.7630002,151.2904773,5,4,0,4,1,9,9,0,6,2
217," Killarney Heights, NSW, Australia",-33.7724836,151.221976,2,0,0,4,0,6,7,0,5,1
218," Belrose, NSW, Australia",-33.730009,151.2191438,1,1,0,4,2,7,5,0,4,2
219," Brookvale, NSW, Australia",-33.7628854,151.2707024,8,7,0,29,4,14,21,3,48,4
220," Allambie Heights, NSW, Australia",-33.770506700000006,151.249675,0,0,0,4,0,5,1,0,2,2
221," Collaroy, NSW, Australia",-33.7382194,151.2996618,3,2,0,10,2,7,3,0,6,3
222," Duffys Forest, NSW, Australia",-33.6733265,151.1927796,1,4,0,2,0,2,5,0,0,0
